A Coruña، Spain;A Coruña Airport;LCG
Douglas (Isle of Man)، Crown Dependencies;Isle of Man Airport;IOM
Dubai، United Arab Emirates;Al Maktoum International Airport;DWC
Dublin، Ireland;Dublin Airport;DUB
Dubrovnik، Croatia;Dubrovnik Airport;DBV
Duluth، United States;Duluth International Airport;DLH
Dunedin، New Zealand;Dunedin Airport;DUD
Dunhuang، China;Dunhuang Mogao International Airport;DNH
Durango، Mexico;Durango International Airport;DGO
Durban, South Africa;King Shaka International Airport;DUR
Durgapur، India;Kazi Nazrul Islam Airport;RDP
Dushanbe، Tajikistan;Dushanbe Airport;DYU
Düsseldorf، Germany;Düsseldorf Airport;DUS
Dzaoudzi, Mayotte;Dzaoudzi–Pamandzi International Airport;DZA
East London, South Africa;East London Airport;ELS
Edinburgh (Scotland)، Northern Ireland, Scotland and Wales;Edinburgh Airport;EDI
Edmonton، Canada;Edmonton International Airport;YEG
Egilsstaðir، Iceland;Egilsstaðir Airport;EGS
Eilat، Palestine;Ramon Airport;ETM
Eindhoven، Netherlands;Eindhoven Airport;EIN
El Arish, Egypt;El Arish International Airport;AAC
El Calafate، Argentina;Comandante Armando Tola International Airport;FTE
El Dabaa, Egypt;El Alamein International Airport;DBB
El Palomar، Argentina;El Palomar Airport;EPA
El Paso، United States;El Paso International Airport;ELP
Elazığ، Turkey;Elazığ Airport;EZS
Eldoret, Kenya;Eldoret International Airport;EDL
Elista، Russia;Elista Airport;ESL
Enfidha, Tunisia;Enfidha–Hammamet International Airport;NBE
Enshi City، China;Enshi Xujiaping Airport;ENH
Entebbe, Uganda;Entebbe International Airport;EBB
Enugu, Nigeria;Akanu Ibiam International Airport;ENU
Erbil، Iraq;Erbil International Airport;EBL
Erie، United States;Erie International Airport;ERI
Esmeraldas، Ecuador;Carlos Concha Torres International Airport;ESM
Esquel، Argentina;Brigadier General Antonio Parodi International Airport;EQS
Essaouira, Morocco;Essaouira-Mogador Airport;ESU
Everett (WA)، United States;Paine Field;PAE
Exeter، England;Exeter Airport;EXT
Exuma, The Bahamas;Exuma International Airport;GGT
Fairbanks، United States;Fairbanks International Airport;FAI
Faisalabad، Pakistan;Faisalabad International Airport;LYP
Faro، Portugal;Faro Airport;FAO
Fergana، Uzbekistan;Fergana International Airport;FEG
Fes, Morocco;Fès–Saïs Airport;FEZ
Figari، France;Figari–Sud Corse Airport;FSC
Flat Point, Saba, Caribbean Netherlands;Juancho E. Yrausquin Airport;SAB
Florence، Italy;Peretola Airport;FLR
Florencia، Colombia;Gustavo Artunduaga Paredes Airport;FLA
Flores، Guatemala;Mundo Maya International Airport;FRS
Florianópolis، Brazil;Hercílio Luz International Airport;FLN
Flying Fish Cove، Christmas Island;Christmas Island Airport;XCH
Formosa، Argentina;Formosa International Airport;FMA
Fort Lauderdale، United States;Fort Lauderdale–Hollywood International Airport;FLL
Fort Myers، United States;Southwest Florida International Airport;RSW
Fortaleza، Brazil;Pinto Martins International Airport;FOR
Fort-de-France, Martinique;Martinique Aimé Césaire International Airport;FDF
Foz do Iguaçu، Brazil;Foz do Iguaçu International Airport;IGU
Franceville, Gabon;M'Vengue El Hadj Omar Bongo Ondimba International Airport;MVB
Francistown, Botswana;Francistown International Airport;FRW
Frankfurt، Germany;Frankfurt Airport;FRA
Fredericton، Canada;Fredericton International Airport;YFC
Freeport, The Bahamas;Grand Bahama International Airport;FPO
Freetown, Sierra Leone;Freetown International Airport;FNA
Freiburg im Breisgau، Germany;EuroAirport Basel–Mulhouse–Freiburg;BSL/MLH/EAP
Fresno، United States;Fresno Yosemite International Airport;FAT
Friedrichshafen، Germany;Friedrichshafen Airport;FDH
Fuerteventura، Spain;Fuerteventura Airport;FUE
Fukuoka، Japan;Fukuoka Airport;FUK
Funafuti، Tuvalu;Funafuti International Airport;FUN
Funchal، Portugal;Madeira Airport;FNC
Futuna، Wallis and Futuna;Pointe Vele Airport;FUT
Fuzhou، China;Fuzhou Changle International Airport;FOC
Fuzuli، Azerbaijan;Fuzuli International Airport;FZL
Gaborone, Botswana;Sir Seretse Khama International Airport;GBE
Galkayo, Somalia;Abdullahi Yusuf Airport;GLK
Gander، Canada;Gander International Airport;YQX
Ganja، Azerbaijan;Ganja International Airport;KVD
Ganzhou، China;Ganzhou Huangjin Airport;KOW
Garowe, Somalia;Garowe Airport;GGR
Gary، United States;Gary/Chicago International Airport;GYY
Gaya، India;Gaya Airport;GAY
Gaziantep، Turkey;Oğuzeli Airport;GZT
Gdańsk، Poland;Gdańsk Lech Wałęسا Airport;GDN
General Santos، Philippines;General Santos International Airport;GES
Geneva، Switzerland;Geneva Airport;GVA
Genoa، Italy;Cristoforo Colombo Airport;GOA
Georgetown, Cayman Islands;Owen Roberts International Airport;GCM
Georgetown، Guyana;Cheddi Jagan International Airport;GEO
Gibraltar (Gibraltar)، Crown Dependencies;Gibraltar International Airport;GIB
Girona، Spain;Girona-Costa Brava Airport;GRO
Glasgow (Scotland)، Northern Ireland, Scotland and Wales;Glasgow Airport;GLA
Goiânia، Brazil;Santa Genoveva Airport;GYN
Gold Coast، Australia;Gold Coast Airport;OOL
Goma, Democratic Republic of the Congo;Goma International Airport;GOM
Gomel، Belarus;Gomel Airport;GME
Gorgan، Iran;Gorgan International Airport;GBT
Gothenburg، Sweden;Göteborg Landvetter Airport;GOT
Gran Canaria، Spain;Gran Canaria Airport;LPA
Granada، Spain;Federico García Lorca Granada Airport;GRX
Grand Rapids، United States;Gerald R. Ford International Airport;GRR
Graz، Austria;Graz Airport;GRZ
Green Bay، United States;Green Bay–Austin Straubel International Airport;GRB
Greensboro، United States;Piedmont Triad International Airport;GSO
Greenville، United States;Greenville-Spartanburg International Airport;GSP
Grenoble، France;Alpes–Isère Airport;GNB
Grodno، Belarus;Hrodna Airport;GNA
